hgnc_id	symbol	name	locus_group	locus_type	status	location	location_sortable	alias_symbol	alias_name	prev_symbol	prev_name	gene_group	gene_group_id	date_approved_reserved	date_symbol_changed	date_name_changed	date_modified	entrez_id	ensembl_gene_id	vega_id	ucsc_id	ena	refseq_accession	ccds_id	uniprot_ids	pubmed_id	in_omim	in_panelapp_uk
HGNC:34	ABCA4	ATP binding cassette subfamily A member 4	protein-coding gene	gene with protein product	Approved	1p22.1	01p22.1	FFM|ARMD2|CORD3	Stargardt disease	STGD1|ABCR|RP19|STGD	ATP-binding cassette transporter, retinal-specific|ATP-binding cassette, sub-family A (ABC1), member 4	ATP binding cassette subfamily A	805	1994-07-14		2015-11-13	2024-09-16	24	ENSG00000198691	OTTHUMG00000010622	uc001dqh.4	U88667	NM_000350	CCDS747	P78363	9490294	True	True
HGNC:14637	ABCA12	ATP binding cassette subfamily A member 12	protein-coding gene	gene with protein product	Approved	2q35	02q35	DKFZP434G232|LI2		ICR2B	ichthyosis congenita II, lamellar ichthyosis B|ATP-binding cassette, sub-family A (ABC1), member 12	ATP binding cassette subfamily A	805	2001-08-16		2015-11-13	2024-09-16	26154	ENSG00000144452	OTTHUMG00000154801	uc002vew.3	AF418105	NM_173076	CCDS33372|CCDS33373	Q86UK0	11435397|12915478|8845852|10094194	True	True
HGNC:40	ABCB1	ATP binding cassette subfamily B member 1	protein-coding gene	gene with protein product	Approved	7q21.12	07q21.12	P-gp|CD243|GP170|ABC20|p-170|PGY1	multidrug resistance protein 1|P-glycoprotein	PGY1|MDR1|CLCS	colchicin sensitivity|ATP-binding cassette, sub-family B (MDR/TAP), member 1	CD molecules|ATP binding cassette subfamily B	471|806	1986-01-01		2015-11-13	2024-09-16	5243	ENSG00000085563	OTTHUMG00000023393	uc003uiz.3	M14758	NM_000927	CCDS5608	P08183	3027054	True	False
HGNC:45	ABCB4	ATP binding cassette subfamily B member 4	protein-coding gene	gene with protein product	Approved	7q21.12	07q21.12	MDR2|PFIC-3|GBD1		PGY3|MDR3	ATP-binding cassette, sub-family B (MDR/TAP), member 4	ATP binding cassette subfamily B	806	1988-05-11		2015-11-13	2024-09-16	5244	ENSG00000005471	OTTHUMG00000023396	uc003uix.1	M23234	NM_000443		P21439	2892668|11313316	True	True
HGNC:47	ABCB6	ATP binding cassette subfamily B member 6 (LAN blood group)	protein-coding gene	gene with protein product	Approved	2q35	02q35	EST45597|umat|MTABC3	ATP-binding cassette half-transporter		ATP-binding cassette, sub-family B (MDR/TAP), member 6|ATP binding cassette subfamily B member 6 (Langereis blood group)	Blood group antigens|ATP binding cassette subfamily B	454|806	1999-10-26		2024-01-22	2024-09-16	10058	ENSG00000115657	OTTHUMG00000133131	uc002vkc.3	AF070598	NM_005689		Q9NP58	8894702|9110174	True	True
HGNC:48	ABCB7	ATP binding cassette subfamily B member 7	protein-coding gene	gene with protein product	Approved	Xq13.3	Xq13.3	EST140535|Atm1p|ASAT		ABC7	ATP-binding cassette, sub-family B (MDR/TAP), member 7	ATP binding cassette subfamily B	806	1997-09-12		2015-11-13	2023-01-20	22	ENSG00000131269	OTTHUMG00000021862	uc004ebz.5	AF038950	NM_004299		O75027	9143506	True	True
HGNC:42	ABCB11	ATP binding cassette subfamily B member 11	protein-coding gene	gene with protein product	Approved	2q31.1	02q31.1	ABC16|SPGP|PFIC-2|PGY4	ABC member 16, MDR/TAP subfamily	BSEP|PFIC2	progressive familial intrahepatic cholestasis 2|bile salt export pump|ATP-binding cassette, sub-family B (MDR/TAP), member 11	ATP binding cassette subfamily B	806	1998-09-25		2015-11-13	2023-01-20	8647	ENSG00000073734	OTTHUMG00000154039	uc002ueo.2	AF091582	NM_003742	CCDS46444	O95342	9806540	True	True
HGNC:53	ABCC2	ATP binding cassette subfamily C member 2	protein-coding gene	gene with protein product	Approved	10q24.2	10q24.2	DJS|MRP2|cMRP		CMOAT	canalicular multispecific organic anion transporter 1|ATP-binding cassette, sub-family C (CFTR/MRP), member 2	ATP binding cassette subfamily C	807	1997-05-09		2015-11-13	2024-09-16	1244	ENSG00000023839	OTTHUMG00000018895	uc001kqf.3	U63970	NM_000392	CCDS7484	Q92887	8797578|9284939	True	True
HGNC:57	ABCC6	ATP binding cassette subfamily C member 6	protein-coding gene	gene with protein product	Approved	16p13.11	16p13.11	MRP6|EST349056|MLP1|URG7		ARA|PXE	pseudoxanthoma elasticum|ATP-binding cassette, sub-family C (CFTR/MRP), member 6	ATP binding cassette subfamily C	807	1997-10-27		2015-11-13	2023-01-20	368	ENSG00000091262	OTTHUMG00000129967	uc002den.5	AF076622	NM_001079528		O95255	9721217|11439001	True	True
HGNC:59	ABCC8	ATP binding cassette subfamily C member 8	protein-coding gene	gene with protein product	Approved	11p15.1	11p15.1	HI|PHHI|SUR1|MRP8|ABC36|HHF1|TNDM2	sulfonylurea receptor (hyperinsulinemia)	SUR|HRINS	ATP-binding cassette, sub-family C (CFTR/MRP), member 8	ATP binding cassette subfamily C	807	1995-01-10		2015-11-13	2023-01-20	6833	ENSG00000006071	OTTHUMG00000166316	uc001mnc.4	L78207	NM_000352		Q09428	7920639|7716548	True	True
HGNC:60	ABCC9	ATP binding cassette subfamily C member 9	protein-coding gene	gene with protein product	Approved	12p12.1	12p12.1	SUR2|CMD1O	sulfonylurea receptor 2		ATP-binding cassette, sub-family C (CFTR/MRP), member 9	ATP binding cassette subfamily C	807	1999-10-26		2015-11-13	2023-03-15	10060	ENSG00000069431	OTTHUMG00000169094	uc001rfi.2	AF061323	NM_005691	CCDS8693|CCDS8694	O60706	9457174|15034580	True	True
HGNC:61	ABCD1	ATP binding cassette subfamily D member 1	protein-coding gene	gene with protein product	Approved	Xq28	Xq28	AMN|ALDP|adrenoleukodystrophy		ALD	ATP-binding cassette, sub-family D (ALD), member 1	ATP binding cassette subfamily D	808	1986-01-01		2015-11-13	2023-01-20	215	ENSG00000101986	OTTHUMG00000024215	uc004fif.2	Z21876	NM_000033	CCDS14728	P33897	8441467|6795626	True	True
HGNC:68	ABCD4	ATP binding cassette subfamily D member 4	protein-coding gene	gene with protein product	Approved	14q24.3	14q24.3	PMP69|P70R|EST352188	Lysosomal cobalamin transporter ABCD4	PXMP1L	ATP-binding cassette, sub-family D (ALD), member 4	ATP binding cassette subfamily D	808	1997-10-27		2015-11-13	2024-09-16	5826	ENSG00000119688	OTTHUMG00000171207	uc001xpr.3	AF009746	NM_005050	CCDS9828	O14678	9266848|9302272|33845046	True	True
HGNC:13886	ABCG5	ATP binding cassette subfamily G member 5	protein-coding gene	gene with protein product	Approved	2p21	02p21	STSL	sterolin 1		ATP-binding cassette, sub-family G (WHITE), member 5	ATP binding cassette subfamily G	811	2000-12-12		2015-11-13	2023-01-20	64240	ENSG00000138075	OTTHUMG00000128758	uc002rtn.3	T93792	NM_022436	CCDS1814	Q9H222	11099417|11452359	True	True
HGNC:13887	ABCG8	ATP binding cassette subfamily G member 8	protein-coding gene	gene with protein product	Approved	2p21	02p21	GBD4	gallbladder disease 4|sterolin 2		ATP-binding cassette, sub-family G (WHITE), member 8 (sterolin 2)|ATP-binding cassette, sub-family G (WHITE), member 8	ATP binding cassette subfamily G	811	2000-12-12		2015-11-13	2023-01-20	64241	ENSG00000143921	OTTHUMG00000128756	uc002rtq.3	AF320294	NM_022437	CCDS1815	Q9H221	11099417|17626266	True	True
HGNC:21396	ABHD5	abhydrolase domain containing 5, lysophosphatidic acid acyltransferase	protein-coding gene	gene with protein product	Approved	3p21.33	03p21.33	CGI-58|NCIE2			abhydrolase domain containing 5	Abhydrolase domain containing	4	2003-06-16		2020-01-21	2023-01-20	51099	ENSG00000011198	OTTHUMG00000133039	uc003cmx.4	AF007132	NM_016006	CCDS2711|CCDS93252|CCDS93253	Q8WTS1	11590543|18606822|19801371	True	True
HGNC:15868	ABHD12	abhydrolase domain containing 12, lysophospholipase	protein-coding gene	gene with protein product	Approved	20p11.21	20p11.21	DKFZP434P106|dJ965G21.2|BEM46L2|ABHD12A		C20orf22	chromosome 20 open reading frame 22|abhydrolase domain containing 12	Abhydrolase domain containing	4	2001-06-21	2006-03-10	2020-01-21	2023-01-20	26090	ENSG00000100997	OTTHUMG00000032121	uc002wus.3	AL117442	NM_015600		Q8N2K0	22969151|25290914|30237167|24879289	True	True
HGNC:13921	ABHD16A	abhydrolase domain containing 16A, phospholipase	protein-coding gene	gene with protein product	Approved	6p21.33	06p21.33	NG26|D6S82E	Phosphatidylserine lipase ABHD16A	BAT5	HLA-B associated transcript 5|abhydrolase domain containing 16A	Abhydrolase domain containing|MicroRNA protein coding host genes	4|1691	2001-07-13	2010-12-09	2020-01-21	2023-10-31	7920	ENSG00000204427	OTTHUMG00000031177	uc003nvy.3	AF129756	NM_001177515		O95870	2911734|2813433|25580854|25290914	True	True
HGNC:76	ABL1	ABL proto-oncogene 1, non-receptor tyrosine kinase	protein-coding gene	gene with protein product	Approved	9q34.12	09q34.12	JTK7|c-ABL|p150		ABL	v-abl Abelson murine leukemia viral oncogene homolog 1|c-abl oncogene 1, receptor tyrosine kinase|c-abl oncogene 1, non-receptor tyrosine kinase	SH2 domain containing|Abl family tyrosine kinases	741|1463	1986-01-01		2014-06-26	2023-01-20	25	ENSG00000097007	OTTHUMG00000020813	uc004bzv.4	M14752	NM_007313		P00519	1857987|12626632	True	True
HGNC:84	ACACA	acetyl-CoA carboxylase alpha	protein-coding gene	gene with protein product	Approved	17q12	17q12	ACC1|ACC-alpha|ACCA|ACCalpha|ACACalpha|Acac1|hACC1	acetyl-CoA carboxylase 1	ACAC|ACC	acetyl-Coenzyme A carboxylase alpha			1989-09-11		2010-04-30	2023-01-20	31	ENSG00000278540	OTTHUMG00000188463	uc284osy.1	U19822	NM_198836		Q13085	9530626	True	True
HGNC:87	ACAD8	acyl-CoA dehydrogenase family member 8	protein-coding gene	gene with protein product	Approved	11q25	11q25		isobutyryl-CoA dehydrogenase		acyl-Coenzyme A dehydrogenase family, member 8|acyl-CoA dehydrogenase family, member 8	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258	2000-01-07		2015-11-18	2023-07-21	27034	ENSG00000151498	OTTHUMG00000167177	uc001qhk.4	AF126245	NM_014384	CCDS8498	Q9UKU7	10524212|12359132	True	True
HGNC:21497	ACAD9	acyl-CoA dehydrogenase family member 9	protein-coding gene	gene with protein product	Approved	3q21.3	03q21.3	NPD002|MGC14452			acyl-Coenzyme A dehydrogenase family, member 9|acyl-CoA dehydrogenase family, member 9	Acyl-CoA dehydrogenase family|Mitochondrial complex I assembly complex|Flavoproteins	974|1387|2258	2003-06-18		2015-11-18	2023-07-21	28976	ENSG00000177646	OTTHUMG00000159942	uc003ela.5	AF078854	NM_014049		Q9H845	12359260|21057504|20816094	True	True
HGNC:89	ACADM	acyl-CoA dehydrogenase medium chain	protein-coding gene	gene with protein product	Approved	1p31.1	01p31.1	MCAD|MCADH|ACAD1	medium-chain acyl-CoA dehydrogenase		acyl-Coenzyme A dehydrogenase, C-4 to C-12 straight chain	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258	1986-01-01		2017-09-21	2023-03-15	34	ENSG00000117054	OTTHUMG00000009784	uc001dgw.6	M16827	NM_000016	CCDS668|CCDS44165|CCDS72807	P11310	3035565	True	True
HGNC:90	ACADS	acyl-CoA dehydrogenase short chain	protein-coding gene	gene with protein product	Approved	12q24.31	12q24.31	SCAD|ACAD3			acyl-Coenzyme A dehydrogenase, C-2 to C-3 short chain	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258	1986-01-01		2017-09-21	2023-01-20	35	ENSG00000122971	OTTHUMG00000169203	uc001tza.5	M26393	NM_000017	CCDS9207|CCDS76610	P16219	2565344	True	True
HGNC:91	ACADSB	acyl-CoA dehydrogenase short/branched chain	protein-coding gene	gene with protein product	Approved	10q26.13	10q26.13	SBCAD|ACAD7			acyl-Coenzyme A dehydrogenase, short/branched chain	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258	1994-10-14		2017-09-21	2023-07-21	36	ENSG00000196177	OTTHUMG00000019200	uc001lhb.4	U12778	NM_001609	CCDS7634|CCDS81518	P45954	7698750|7759115	True	True
HGNC:92	ACADVL	acyl-CoA dehydrogenase very long chain	protein-coding gene	gene with protein product	Approved	17p13.1	17p13.1	VLCAD|LCACD|ACAD6			acyl-Coenzyme A dehydrogenase, very long chain	Acyl-CoA dehydrogenase family|Flavoproteins	974|2258	1996-05-30		2017-09-21	2023-07-21	37	ENSG00000072778	OTTHUMG00000102157	uc002gev.5	BC012912	NM_000018		P49748	8921384	True	True
HGNC:319	ACAN	aggrecan	protein-coding gene	gene with protein product	Approved	15q26.1	15q26.1	CSPGCP	aggrecan proteoglycan	MSK16|CSPG1|AGC1	chondroitin sulfate proteoglycan 1|aggrecan 1	Hyalectan proteoglycans|V-set domain containing|Sushi domain containing|C-type lectin domain containing	574|590|1179|1298	1992-06-17	2007-02-16	2007-02-16	2023-01-20	176	ENSG00000157766	OTTHUMG00000171989	uc010upo.1	M55172	NM_001135		P16112	1985970	True	True
HGNC:93	ACAT1	acetyl-CoA acetyltransferase 1	protein-coding gene	gene with protein product	Approved	11q22.3	11q22.3	THIL	acetoacetyl Coenzyme A thiolase	ACAT	acetyl-Coenzyme A acetyltransferase 1			1991-08-12		2010-04-30	2023-01-20	38	ENSG00000075239	OTTHUMG00000166381	uc001pjy.4	D90228	NM_000019		P24752	1979337	True	True
HGNC:23338	ACBD5	acyl-CoA binding domain containing 5	protein-coding gene	gene with protein product	Approved	10p12.1	10p12.1	DKFZp434A2417|KIAA1996			acyl-Coenzyme A binding domain containing 5			2003-11-11		2010-04-30	2023-01-20	91452	ENSG00000107897	OTTHUMG00000017854	uc001ito.4	AF505653	NM_145698		Q5T8D3	12056414	True	True
HGNC:23339	ACBD6	acyl-CoA binding domain containing 6	protein-coding gene	gene with protein product	Approved	1q25.2-q25.3	01q25.2-q25.3	MGC2404			acyl-Coenzyme A binding domain containing 6	Ankyrin repeat domain containing|MicroRNA protein coding host genes	403|1691	2003-11-11		2010-04-30	2023-01-20	84320	ENSG00000230124	OTTHUMG00000035117	uc001gog.4	BC006505	NM_032360	CCDS1339	Q9BR61	18268358	True	True
HGNC:25070	ACD	ACD shelterin complex subunit and telomerase recruitment factor	protein-coding gene	gene with protein product	Approved	16q22.1	16q22.1	Ptop|Pip1|Tpp1|Tint1	TIN2 interacting protein 1|POT1 and TIN2 organizing protein		adrenocortical dysplasia homolog (mouse)	Shelterin complex	1334	2005-01-04		2019-01-18	2023-01-20	65057	ENSG00000102977	OTTHUMG00000137547	uc002etp.5	AF070535	NM_022914		Q96AP0	15231715|15181449	False	True
HGNC:2707	ACE	angiotensin I converting enzyme	protein-coding gene	gene with protein product	Approved	17q23.3	17q23.3	ACE1|CD143	peptidyl-dipeptidase A	DCP1	angiotensin I converting enzyme (peptidyl-dipeptidase A) 1	CD molecules	471	1989-06-06		2013-06-12	2023-01-20	1636	ENSG00000159640	OTTHUMG00000154927	uc002jau.4	J04144	NM_000789		P12821	2554286|10319862	True	True
HGNC:16066	ACER3	alkaline ceramidase 3	protein-coding gene	gene with protein product	Approved	11q13.5	11q13.5	FLJ11238|APHC	alkaline phytoceramidase	PHCA	phytoceramidase, alkaline	Alkaline ceramidases	400	2002-01-03	2008-12-19	2008-12-19	2023-01-20	55331	ENSG00000078124	OTTHUMG00000165225	uc009yum.2	AF214454	NM_018367		Q9NUN7	11356846|18619555	False	True
HGNC:118	ACO2	aconitase 2	protein-coding gene	gene with protein product	Approved	22q13.2	22q13.2	ACONM	aconitate hydratase, mitochondrial|mitochondrial aconitase		aconitase 2, mitochondrial			1986-01-01		2015-12-01	2023-01-20	50	ENSG00000100412	OTTHUMG00000030544	uc003bac.3	AH006514	NM_001098	CCDS14017	Q99798	10591208	True	True
HGNC:119	ACOX1	acyl-CoA oxidase 1	protein-coding gene	gene with protein product	Approved	17q25.1	17q25.1	PALMCOX	palmitoyl-CoA oxidase		acyl-Coenzyme A oxidase 1, palmitoyl|acyl-CoA oxidase 1, palmitoyl	Flavoproteins	2258	1994-02-11		2016-06-01	2023-03-15	51	ENSG00000161533	OTTHUMG00000180027	uc002jqe.5	U03254	NM_001185039		Q15067	8159712	True	True
HGNC:120	ACOX2	acyl-CoA oxidase 2	protein-coding gene	gene with protein product	Approved	3p14.3	03p14.3	BRCACOX|BRCOX|THCCox	trihydroxycoprostanoyl-CoA oxidase|3-alpha,7-alpha,12-alpha-trihydroxy-5-beta-cholestanoyl-CoA 24-hydroxylase|branched chain acyl-CoA oxidase		acyl-Coenzyme A oxidase 2, branched chain|acyl-CoA oxidase 2, branched chain	Flavoproteins	2258	1998-09-17		2016-06-01	2023-07-21	8309	ENSG00000168306	OTTHUMG00000159154	uc003dkl.4	X95190	NM_003500	CCDS33775	Q99424	8943006|9070889	True	False
HGNC:14376	ACP4	acid phosphatase 4	protein-coding gene	gene with protein product	Approved	19q13.33	19q13.33		testicular acid phosphatase	ACPT	acid phosphatase, testicular	Acid phosphatases	1071	2001-07-13	2017-06-23	2017-06-23	2023-01-20	93650	ENSG00000142513	OTTHUMG00000182961	uc002pta.1	AF321918	NM_033068	CCDS12802	Q9BZG2	11414767	True	True
HGNC:124	ACP5	acid phosphatase 5, tartrate resistant	protein-coding gene	gene with protein product	Approved	19p13.2	19p13.2	TRAP|HPAP|TRAcP	tartrate-resistant acid phosphatase|human purple acid phosphatase			Acid phosphatases	1071	1989-02-23			2023-01-20	54	ENSG00000102575	OTTHUMG00000182036	uc002msi.5	X14618	NM_001111034	CCDS12265	P13686	8449511|2338077	True	True
HGNC:27288	ACSF3	acyl-CoA synthetase family member 3	protein-coding gene	gene with protein product	Approved	16q24.3	16q24.3		malonyl-CoA synthetase			Acyl-CoA synthetase family	40	2007-10-17			2023-01-20	197322	ENSG00000176715	OTTHUMG00000138044	uc021tmq.2	AK075499	NM_174917		Q4G176	17762044|21846720	True	True
HGNC:3571	ACSL4	acyl-CoA synthetase long chain family member 4	protein-coding gene	gene with protein product	Approved	Xq23	Xq23	ACS4|LACS4	lignoceroyl-CoA synthase|long-chain fatty-acid-Coenzyme A ligase 4	FACL4|MRX63|MRX68	fatty-acid-Coenzyme A ligase, long-chain 4|mental retardation, X-linked 63|mental retardation, X-linked 68	Acyl-CoA synthetase family	40	1997-05-09	2004-02-20	2017-06-13	2023-01-20	2182	ENSG00000068366	OTTHUMG00000022190	uc004eoi.3	BC034959	NM_004458	CCDS14548|CCDS14549	O60488	9480748|12949969	True	True
HGNC:129	ACTA1	actin alpha 1, skeletal muscle	protein-coding gene	gene with protein product	Approved	1q42.13	01q42.13	NEM3	nemaline myopathy type 3	ACTA		Actins	929	1986-01-01		2019-01-10	2023-01-20	58	ENSG00000143632	OTTHUMG00000038006	uc001htm.4	J00068	NM_001100	CCDS1578	P68133	10072583|6865942	True	True
HGNC:130	ACTA2	actin alpha 2, smooth muscle	protein-coding gene	gene with protein product	Approved	10q23.31	10q23.31	ACTSA			actin, alpha 2, smooth muscle, aorta	Actins	929	1989-12-07		2019-01-10	2023-01-20	59	ENSG00000107796	OTTHUMG00000018700	uc001kfq.4	X13839	NM_001613	CCDS7392	P62736	2398629	True	True
HGNC:132	ACTB	actin beta	protein-coding gene	gene with protein product	Approved	7p22.1	07p22.1		β-actin			Actins|BAF complex subunits|PBAF complex subunits|GBAF complex subunits	929|1604|1605|1606	1986-01-01		2016-06-09	2023-01-20	60	ENSG00000075624	OTTHUMG00000023268	uc003sot.5	M28424	NM_001101	CCDS5341	P60709	1505215	True	True
HGNC:143	ACTC1	actin alpha cardiac muscle 1	protein-coding gene	gene with protein product	Approved	15q14	15q14	CMD1R		ACTC	actin, alpha, cardiac muscle	Actins	929	1986-01-01	2006-08-24	2019-01-10	2023-01-20	70	ENSG00000159251	OTTHUMG00000129675	uc001ziu.2	BC009978	NM_005159	CCDS10041	P68032	1639426	True	True
HGNC:144	ACTG1	actin gamma 1	protein-coding gene	gene with protein product	Approved	17q25.3	17q25.3			ACTG|DFNA20|DFNA26	deafness, autosomal dominant 20|deafness, autosomal dominant 26	Actins	929	1988-06-27		2015-01-19	2023-01-20	71	ENSG00000184009	OTTHUMG00000177955	uc002kal.3		NM_001614	CCDS11782	P63261	14684684	True	True
HGNC:145	ACTG2	actin gamma 2, smooth muscle	protein-coding gene	gene with protein product	Approved	2p13.1	02p13.1	ACTSG		ACTL3|ACTA3	actin, gamma 2, smooth muscle, enteric	Actins	929	1989-12-07		2019-01-10	2023-01-20	72	ENSG00000163017	OTTHUMG00000129813	uc002sjw.4		NM_001615		P63267	1710027|1673027	True	True
HGNC:160	ACTL6B	actin like 6B	protein-coding gene	gene with protein product	Approved	7q22.1	07q22.1	BAF53B|SMARCN2		ACTL6	actin-like 6	Actin related proteins|BAF complex subunits|PBAF complex subunits|GBAF complex subunits	1436|1604|1605|1606	1998-06-01	2004-07-14	2015-11-17	2023-01-20	51412	ENSG00000077080	OTTHUMG00000159661	uc003uvy.4	AB015906	NM_016188	CCDS5702	O94805	9799793	True	True
HGNC:161	ACTL7A	actin like 7A	protein-coding gene	gene with protein product	Approved	9q31.3	09q31.3					Actin related proteins	1436	1999-07-14		2015-11-17	2023-01-23	10881	ENSG00000187003	OTTHUMG00000020461	uc004bdj.3	BC014610	NM_006687	CCDS6772	Q9Y615	10373328	True	False
HGNC:28494	ACTL9	actin like 9	protein-coding gene	gene with protein product	Approved	19p13.2	19p13.2	MGC33407				Actin related proteins	1436	2009-05-15		2015-11-17	2023-01-23	284382	ENSG00000181786	OTTHUMG00000182194	uc032hly.2		NM_178525	CCDS12207	Q8TC94	33626338	True	False
HGNC:163	ACTN1	actinin alpha 1	protein-coding gene	gene with protein product	Approved	14q24.1	14q24.1					Actinins	1112	1990-08-21		2016-01-18	2023-01-20	87	ENSG00000072110	OTTHUMG00000171386	uc001xkl.4	M95178	NM_001102		P12814	2349951	True	False
HGNC:164	ACTN2	actinin alpha 2	protein-coding gene	gene with protein product	Approved	1q43	01q43					Actinins	1112	1991-07-16		2016-01-18	2023-03-15	88	ENSG00000077522	OTTHUMG00000040059	uc001hyf.4	BC047901	NM_001103	CCDS1613|CCDS60455	P35609	1339456	True	True
HGNC:166	ACTN4	actinin alpha 4	protein-coding gene	gene with protein product	Approved	19q13.2	19q13.2			FSGS1	focal segmental glomerulosclerosis 1	Actinins	1112	1992-03-26		2016-01-18	2023-01-20	81	ENSG00000130402	OTTHUMG00000137382	uc002oja.3	D89980	NM_001322033		O43707	9461087|10700177	True	True
